episode,seed_0,seed_1,seed_2,seed_3,seed_4
144,43.0,18.0,49.0,52.0,15.0
145,54.0,19.0,20.0,48.0,39.0
146,10.0,15.0,12.0,34.0,25.0
147,14.0,24.0,28.0,54.0,16.0
148,24.0,28.0,15.0,15.0,28.0
149,11.0,16.0,56.0,45.0,17.0
150,18.0,40.0,39.0,19.0,24.0
151,15.0,13.0,51.0,14.0,33.0
152,11.0,47.0,20.0,16.0,27.0
153,13.0,19.0,13.0,31.0,18.0
154,52.0,16.0,22.0,29.0,25.0
155,32.0,12.0,55.0,15.0,21.0
156,9.0,12.0,15.0,18.0,64.0
157,16.0,57.0,46.0,20.0,19.0
158,37.0,52.0,11.0,17.0,15.0
159,13.0,19.0,27.0,40.0,47.0
160,14.0,21.0,38.0,54.0,11.0
161,13.0,19.0,14.0,17.0,28.0
162,19.0,40.0,11.0,14.0,23.0
163,17.0,15.0,19.0,8.0,62.0
164,17.0,21.0,18.0,21.0,30.0
165,26.0,25.0,16.0,24.0,12.0
166,27.0,20.0,24.0,12.0,21.0
167,32.0,45.0,25.0,18.0,17.0
168,36.0,22.0,11.0,40.0,32.0
169,58.0,15.0,23.0,12.0,40.0
170,18.0,28.0,19.0,26.0,16.0
171,44.0,12.0,23.0,16.0,20.0
172,23.0,28.0,15.0,25.0,13.0
173,21.0,23.0,69.0,39.0,18.0
174,17.0,9.0,16.0,56.0,12.0
175,29.0,15.0,13.0,14.0,25.0
176,11.0,18.0,18.0,13.0,18.0
177,58.0,11.0,21.0,21.0,55.0
178,12.0,13.0,28.0,11.0,14.0
179,26.0,65.0,42.0,25.0,18.0
180,25.0,50.0,56.0,12.0,12.0
181,54.0,42.0,36.0,10.0,35.0
182,13.0,14.0,19.0,59.0,12.0
183,14.0,13.0,18.0,21.0,15.0
184,32.0,24.0,21.0,18.0,16.0
185,15.0,11.0,23.0,15.0,73.0
186,34.0,33.0,14.0,21.0,43.0
187,16.0,41.0,9.0,14.0,14.0
188,28.0,27.0,19.0,32.0,15.0
189,12.0,43.0,20.0,23.0,30.0
190,17.0,17.0,21.0,39.0,15.0
191,44.0,27.0,48.0,16.0,18.0
192,31.0,10.0,17.0,40.0,31.0
193,12.0,11.0,19.0,30.0,35.0
194,28.0,14.0,18.0,29.0,19.0
195,94.0,16.0,16.0,15.0,15.0
196,27.0,21.0,10.0,16.0,27.0
197,22.0,44.0,12.0,58.0,26.0
198,13.0,11.0,22.0,62.0,33.0
199,23.0,10.0,27.0,15.0,20.0
200,19.0,11.0,38.0,71.0,29.0
201,14.0,41.0,40.0,24.0,47.0
202,17.0,51.0,26.0,33.0,37.0
203,89.0,27.0,15.0,32.0,15.0
204,34.0,14.0,20.0,17.0,17.0
205,26.0,13.0,18.0,14.0,11.0
206,16.0,50.0,16.0,66.0,25.0
207,21.0,14.0,16.0,33.0,17.0
208,13.0,18.0,18.0,28.0,17.0
209,14.0,21.0,26.0,11.0,15.0
210,10.0,26.0,17.0,33.0,11.0
211,39.0,27.0,17.0,33.0,16.0
212,28.0,15.0,11.0,48.0,16.0
213,18.0,13.0,49.0,9.0,14.0
214,19.0,31.0,59.0,9.0,15.0
215,54.0,28.0,18.0,15.0,15.0
216,33.0,32.0,20.0,13.0,46.0
217,17.0,13.0,20.0,13.0,18.0
218,38.0,33.0,40.0,28.0,14.0
219,48.0,33.0,33.0,47.0,30.0
220,25.0,31.0,26.0,19.0,19.0
221,41.0,17.0,32.0,22.0,27.0
222,16.0,31.0,18.0,11.0,28.0
223,41.0,19.0,13.0,12.0,20.0
224,31.0,23.0,27.0,33.0,34.0
225,28.0,32.0,40.0,26.0,46.0
226,23.0,14.0,15.0,26.0,21.0
227,34.0,15.0,24.0,20.0,21.0
228,13.0,31.0,16.0,63.0,22.0
229,46.0,21.0,38.0,15.0,11.0
230,20.0,40.0,16.0,25.0,16.0
231,25.0,31.0,10.0,13.0,14.0
232,10.0,22.0,15.0,20.0,13.0
233,14.0,20.0,19.0,26.0,28.0
234,16.0,62.0,32.0,45.0,17.0
235,22.0,34.0,13.0,36.0,20.0
236,53.0,28.0,44.0,32.0,13.0
237,37.0,30.0,18.0,50.0,14.0
238,23.0,9.0,42.0,13.0,16.0
239,21.0,14.0,13.0,49.0,25.0
240,15.0,50.0,54.0,33.0,21.0
241,16.0,14.0,24.0,17.0,12.0
242,23.0,24.0,36.0,17.0,11.0
243,62.0,12.0,9.0,13.0,21.0
244,32.0,46.0,18.0,30.0,71.0
245,34.0,10.0,14.0,28.0,17.0
246,14.0,20.0,14.0,34.0,11.0
247,19.0,22.0,51.0,15.0,17.0
248,18.0,15.0,16.0,14.0,20.0
249,11.0,11.0,101.0,44.0,11.0
250,33.0,15.0,25.0,28.0,24.0
251,18.0,29.0,19.0,23.0,11.0
252,35.0,10.0,15.0,31.0,27.0
253,17.0,15.0,15.0,16.0,14.0
254,24.0,24.0,11.0,16.0,19.0
255,23.0,37.0,55.0,24.0,20.0
256,14.0,38.0,13.0,20.0,20.0
257,9.0,21.0,58.0,9.0,39.0
258,15.0,24.0,11.0,20.0,10.0
259,28.0,19.0,18.0,74.0,40.0
260,26.0,13.0,46.0,15.0,15.0
261,24.0,16.0,33.0,44.0,12.0
262,15.0,24.0,39.0,17.0,54.0
263,16.0,18.0,19.0,33.0,39.0
264,18.0,19.0,25.0,34.0,22.0
265,18.0,15.0,12.0,14.0,17.0
266,25.0,16.0,29.0,13.0,12.0
267,40.0,53.0,23.0,19.0,31.0
268,48.0,11.0,14.0,60.0,19.0
269,18.0,18.0,23.0,18.0,19.0
270,17.0,22.0,35.0,25.0,17.0
271,30.0,21.0,17.0,19.0,22.0
272,17.0,21.0,33.0,46.0,32.0
273,71.0,21.0,23.0,22.0,12.0
274,24.0,26.0,17.0,85.0,25.0
275,29.0,17.0,21.0,12.0,32.0
276,20.0,10.0,47.0,10.0,15.0
277,19.0,24.0,40.0,12.0,33.0
278,12.0,25.0,13.0,17.0,13.0
279,34.0,24.0,13.0,16.0,46.0
280,16.0,16.0,14.0,14.0,20.0
281,18.0,11.0,14.0,25.0,21.0
282,19.0,29.0,27.0,15.0,28.0
283,74.0,19.0,67.0,15.0,13.0
284,21.0,26.0,13.0,16.0,13.0
285,30.0,21.0,29.0,13.0,37.0
286,13.0,75.0,14.0,30.0,24.0
287,13.0,21.0,25.0,20.0,61.0
288,42.0,51.0,23.0,15.0,32.0
289,16.0,12.0,17.0,15.0,17.0
290,14.0,28.0,22.0,20.0,25.0
291,28.0,35.0,19.0,13.0,20.0
292,17.0,33.0,27.0,47.0,19.0
293,70.0,14.0,15.0,21.0,10.0
294,18.0,29.0,18.0,21.0,13.0
295,12.0,19.0,16.0,19.0,27.0
296,12.0,21.0,37.0,14.0,33.0
297,29.0,35.0,19.0,12.0,28.0
298,15.0,16.0,27.0,41.0,26.0
299,20.0,17.0,35.0,21.0,14.0
300,41.0,17.0,13.0,35.0,21.0
301,43.0,28.0,26.0,16.0,49.0
302,17.0,22.0,30.0,13.0,11.0
303,47.0,21.0,15.0,19.0,39.0
304,82.0,47.0,30.0,13.0,11.0
305,22.0,23.0,41.0,13.0,21.0
306,33.0,18.0,50.0,10.0,16.0
307,17.0,44.0,14.0,54.0,23.0
308,50.0,31.0,23.0,26.0,28.0
309,30.0,9.0,25.0,22.0,28.0
310,16.0,16.0,36.0,33.0,9.0
311,10.0,30.0,20.0,23.0,9.0
312,26.0,19.0,49.0,14.0,47.0
313,22.0,17.0,27.0,14.0,20.0
314,19.0,35.0,20.0,38.0,17.0
315,12.0,12.0,20.0,22.0,20.0
316,13.0,16.0,37.0,19.0,25.0
317,10.0,10.0,35.0,38.0,18.0
318,20.0,12.0,30.0,13.0,17.0
319,25.0,26.0,26.0,32.0,18.0
320,34.0,42.0,16.0,25.0,47.0
321,11.0,59.0,21.0,39.0,25.0
322,18.0,18.0,12.0,41.0,38.0
323,58.0,23.0,25.0,20.0,34.0
324,35.0,50.0,15.0,36.0,12.0
325,38.0,18.0,21.0,18.0,10.0
326,125.0,22.0,22.0,34.0,17.0
327,20.0,22.0,14.0,12.0,31.0
328,55.0,12.0,33.0,36.0,14.0
329,13.0,46.0,37.0,48.0,35.0
330,18.0,16.0,16.0,15.0,27.0
331,23.0,17.0,19.0,11.0,12.0
332,23.0,14.0,11.0,17.0,51.0
333,13.0,32.0,40.0,51.0,12.0
334,26.0,12.0,17.0,19.0,25.0
335,39.0,25.0,26.0,25.0,14.0
336,11.0,20.0,10.0,19.0,55.0
337,45.0,63.0,33.0,35.0,17.0
338,34.0,33.0,25.0,18.0,19.0
339,12.0,46.0,11.0,40.0,44.0
340,19.0,12.0,19.0,13.0,28.0
341,19.0,32.0,16.0,39.0,48.0
342,13.0,21.0,34.0,18.0,28.0
343,44.0,39.0,10.0,17.0,28.0
344,51.0,29.0,14.0,20.0,19.0
345,22.0,43.0,19.0,19.0,30.0
346,27.0,18.0,63.0,29.0,12.0
347,11.0,20.0,50.0,43.0,18.0
348,24.0,10.0,24.0,27.0,40.0
349,12.0,15.0,29.0,12.0,16.0
350,48.0,33.0,33.0,30.0,12.0
351,35.0,24.0,33.0,18.0,15.0
352,29.0,15.0,30.0,62.0,10.0
353,14.0,21.0,15.0,25.0,14.0
354,17.0,27.0,22.0,13.0,18.0
355,29.0,21.0,39.0,28.0,25.0
356,11.0,17.0,40.0,20.0,46.0
357,38.0,12.0,26.0,12.0,24.0
358,52.0,12.0,48.0,11.0,17.0
359,16.0,49.0,27.0,20.0,17.0
360,12.0,18.0,22.0,44.0,19.0
361,29.0,10.0,18.0,33.0,28.0
362,16.0,15.0,33.0,24.0,14.0
363,20.0,21.0,23.0,11.0,96.0
364,13.0,22.0,75.0,26.0,13.0
365,31.0,26.0,21.0,18.0,45.0
366,32.0,11.0,12.0,31.0,46.0
367,35.0,16.0,28.0,26.0,17.0
368,62.0,18.0,50.0,15.0,37.0
369,27.0,32.0,16.0,11.0,76.0
370,23.0,10.0,43.0,14.0,22.0
371,35.0,38.0,61.0,11.0,29.0
372,23.0,11.0,16.0,19.0,22.0
373,29.0,62.0,23.0,14.0,18.0
374,13.0,36.0,51.0,29.0,38.0
375,26.0,17.0,10.0,29.0,24.0
376,23.0,25.0,33.0,30.0,40.0
377,17.0,16.0,54.0,14.0,15.0
378,53.0,44.0,43.0,34.0,38.0
379,14.0,39.0,9.0,14.0,26.0
380,30.0,21.0,29.0,29.0,30.0
381,38.0,48.0,21.0,10.0,19.0
382,38.0,14.0,27.0,17.0,57.0
383,26.0,15.0,11.0,11.0,14.0
384,12.0,19.0,19.0,18.0,47.0
385,19.0,24.0,17.0,14.0,13.0
386,17.0,85.0,20.0,25.0,29.0
387,11.0,9.0,10.0,46.0,30.0
388,68.0,14.0,29.0,45.0,25.0
389,21.0,17.0,14.0,29.0,18.0
390,17.0,35.0,18.0,11.0,28.0
391,15.0,18.0,17.0,12.0,17.0
392,38.0,33.0,42.0,22.0,13.0
393,11.0,12.0,19.0,13.0,35.0
394,16.0,28.0,16.0,14.0,16.0
395,23.0,29.0,29.0,58.0,25.0
