episode,seed_0,seed_1,seed_2
0,12.0,10.0,14.0
1,18.0,27.0,46.0
2,54.0,34.0,45.0
3,22.0,36.0,16.0
4,16.0,14.0,11.0
5,33.0,84.0,22.0
6,15.0,11.0,14.0
7,30.0,39.0,32.0
8,13.0,10.0,18.0
9,30.0,13.0,18.0
10,28.0,15.0,44.0
11,15.0,10.0,11.0
12,13.0,20.0,20.0
13,26.0,27.0,35.0
14,28.0,20.0,18.0
15,18.0,17.0,35.0
16,21.0,55.0,21.0
17,15.0,15.0,11.0
18,10.0,10.0,12.0
19,44.0,52.0,53.0
20,11.0,14.0,31.0
21,12.0,27.0,12.0
22,30.0,15.0,37.0
23,43.0,41.0,14.0
24,14.0,9.0,36.0
25,13.0,15.0,30.0
26,28.0,22.0,14.0
27,29.0,22.0,12.0
28,36.0,32.0,27.0
29,13.0,17.0,12.0
30,18.0,12.0,11.0
31,34.0,19.0,18.0
32,28.0,30.0,38.0
33,18.0,19.0,13.0
34,16.0,23.0,17.0
35,11.0,13.0,25.0
36,26.0,21.0,12.0
37,33.0,12.0,17.0
38,36.0,26.0,10.0
39,19.0,16.0,13.0
40,13.0,14.0,16.0
41,23.0,18.0,11.0
42,20.0,18.0,85.0
43,20.0,11.0,11.0
44,26.0,12.0,22.0
45,25.0,30.0,39.0
46,31.0,42.0,19.0
47,17.0,16.0,16.0
48,51.0,17.0,14.0
49,30.0,48.0,17.0
50,20.0,46.0,79.0
51,18.0,19.0,31.0
52,16.0,52.0,34.0
53,32.0,13.0,18.0
54,11.0,12.0,18.0
55,11.0,12.0,17.0
56,34.0,31.0,9.0
57,46.0,17.0,15.0
58,17.0,19.0,18.0
59,17.0,17.0,77.0
60,18.0,17.0,16.0
61,20.0,62.0,15.0
62,12.0,28.0,21.0
63,15.0,9.0,28.0
64,23.0,22.0,19.0
65,10.0,14.0,51.0
66,14.0,19.0,9.0
67,11.0,11.0,11.0
68,18.0,26.0,22.0
69,24.0,29.0,48.0
70,33.0,20.0,23.0
71,28.0,16.0,10.0
72,18.0,21.0,14.0
73,37.0,35.0,16.0
74,14.0,19.0,19.0
75,15.0,44.0,17.0
76,38.0,11.0,17.0
77,19.0,11.0,18.0
78,15.0,23.0,25.0
79,16.0,21.0,16.0
80,13.0,21.0,21.0
81,14.0,21.0,11.0
82,22.0,40.0,19.0
83,55.0,28.0,14.0
84,16.0,15.0,14.0
85,46.0,13.0,16.0
86,11.0,16.0,26.0
87,22.0,13.0,15.0
88,14.0,44.0,16.0
89,16.0,12.0,23.0
90,11.0,13.0,39.0
91,21.0,17.0,12.0
92,28.0,31.0,30.0
93,20.0,46.0,28.0
94,29.0,20.0,14.0
95,14.0,22.0,11.0
96,19.0,29.0,52.0
97,15.0,41.0,16.0
98,11.0,13.0,14.0
99,12.0,11.0,16.0
100,26.0,14.0,21.0
101,31.0,22.0,10.0
102,20.0,20.0,16.0
103,22.0,14.0,15.0
104,23.0,22.0,31.0
105,21.0,42.0,30.0
106,18.0,38.0,14.0
107,21.0,11.0,14.0
108,17.0,16.0,26.0
109,8.0,21.0,9.0
110,37.0,19.0,14.0
111,41.0,14.0,17.0
112,17.0,10.0,40.0
113,32.0,28.0,9.0
114,17.0,17.0,12.0
115,12.0,12.0,13.0
116,55.0,43.0,11.0
117,15.0,9.0,37.0
118,37.0,23.0,29.0
119,22.0,17.0,26.0
120,19.0,38.0,15.0
121,22.0,16.0,45.0
122,11.0,14.0,30.0
123,22.0,17.0,23.0
124,31.0,17.0,10.0
125,22.0,36.0,11.0
126,18.0,13.0,28.0
127,27.0,17.0,36.0
128,15.0,26.0,12.0
129,16.0,36.0,23.0
130,12.0,24.0,19.0
131,26.0,16.0,16.0
132,32.0,20.0,32.0
133,19.0,14.0,19.0
134,13.0,27.0,38.0
135,31.0,16.0,14.0
136,21.0,15.0,13.0
137,26.0,16.0,55.0
138,10.0,25.0,15.0
139,58.0,23.0,20.0
140,15.0,46.0,17.0
141,12.0,19.0,15.0
142,17.0,13.0,13.0
143,22.0,17.0,22.0
144,15.0,15.0,23.0
145,18.0,15.0,12.0
146,34.0,16.0,26.0
147,13.0,73.0,17.0
148,16.0,21.0,18.0
149,56.0,17.0,68.0
150,12.0,13.0,28.0
151,18.0,15.0,12.0
152,21.0,9.0,12.0
153,12.0,34.0,16.0
