episode,seed_0,seed_1,seed_2
89,33.0,9.0,28.0
90,27.0,31.0,24.0
91,11.0,38.0,32.0
92,24.0,31.0,8.0
93,19.0,12.0,26.0
94,11.0,13.0,11.0
95,21.0,19.0,19.0
96,27.0,34.0,35.0
97,9.0,11.0,19.0
98,40.0,15.0,10.0
99,15.0,13.0,15.0
100,17.0,13.0,19.0
101,9.0,19.0,20.0
102,30.0,18.0,22.0
103,39.0,23.0,67.0
104,22.0,13.0,10.0
105,10.0,17.0,17.0
106,22.0,52.0,14.0
107,25.0,48.0,18.0
108,11.0,9.0,25.0
109,16.0,11.0,19.0
110,23.0,15.0,47.0
111,20.0,20.0,16.0
112,22.0,25.0,41.0
113,24.0,42.0,22.0
114,17.0,11.0,19.0
115,15.0,18.0,23.0
116,18.0,59.0,27.0
117,13.0,16.0,20.0
118,31.0,46.0,11.0
119,34.0,20.0,38.0
120,19.0,26.0,30.0
121,10.0,32.0,28.0
122,14.0,22.0,27.0
123,12.0,30.0,41.0
124,14.0,24.0,38.0
125,21.0,12.0,11.0
126,36.0,28.0,22.0
127,20.0,11.0,14.0
128,39.0,12.0,17.0
129,11.0,27.0,17.0
130,45.0,41.0,15.0
131,12.0,20.0,33.0
132,22.0,35.0,33.0
133,13.0,16.0,17.0
134,41.0,21.0,26.0
135,24.0,20.0,30.0
136,75.0,27.0,25.0
137,21.0,20.0,26.0
138,51.0,34.0,25.0
139,43.0,9.0,31.0
140,15.0,13.0,9.0
141,48.0,36.0,20.0
142,21.0,23.0,52.0
143,23.0,23.0,10.0
144,20.0,19.0,29.0
145,22.0,15.0,10.0
146,24.0,19.0,20.0
147,18.0,24.0,15.0
148,13.0,12.0,35.0
149,16.0,41.0,22.0
150,35.0,27.0,41.0
151,29.0,16.0,14.0
152,12.0,19.0,20.0
153,11.0,22.0,12.0
154,24.0,21.0,29.0
155,21.0,11.0,17.0
156,20.0,21.0,21.0
157,41.0,28.0,20.0
158,13.0,14.0,20.0
159,49.0,12.0,17.0
160,19.0,12.0,12.0
161,10.0,20.0,14.0
162,17.0,22.0,42.0
163,14.0,28.0,23.0
164,28.0,20.0,15.0
165,20.0,12.0,11.0
166,26.0,30.0,26.0
167,15.0,21.0,58.0
168,17.0,10.0,23.0
169,26.0,33.0,49.0
170,14.0,13.0,27.0
171,10.0,9.0,15.0
172,12.0,16.0,12.0
173,14.0,27.0,25.0
174,21.0,47.0,19.0
175,31.0,23.0,19.0
176,11.0,13.0,12.0
177,15.0,24.0,21.0
178,19.0,11.0,14.0
179,27.0,24.0,11.0
180,16.0,45.0,28.0
181,17.0,17.0,13.0
182,15.0,21.0,24.0
183,22.0,22.0,21.0
184,18.0,19.0,27.0
185,22.0,18.0,48.0
186,12.0,16.0,35.0
187,25.0,22.0,35.0
188,17.0,18.0,17.0
189,10.0,20.0,34.0
190,30.0,27.0,12.0
191,29.0,14.0,23.0
192,15.0,16.0,22.0
193,30.0,49.0,13.0
194,20.0,18.0,23.0
195,26.0,20.0,21.0
196,13.0,11.0,22.0
197,21.0,25.0,46.0
198,36.0,31.0,15.0
199,36.0,23.0,25.0
200,43.0,20.0,37.0
201,32.0,21.0,49.0
202,89.0,12.0,12.0
203,20.0,23.0,46.0
204,27.0,49.0,18.0
205,12.0,38.0,23.0
206,11.0,36.0,11.0
207,14.0,18.0,40.0
208,15.0,13.0,21.0
209,26.0,16.0,43.0
210,11.0,29.0,57.0
211,23.0,14.0,27.0
212,59.0,30.0,34.0
213,21.0,15.0,40.0
214,16.0,16.0,14.0
215,15.0,31.0,15.0
216,12.0,17.0,16.0
217,68.0,33.0,21.0
218,10.0,15.0,15.0
219,13.0,18.0,28.0
220,22.0,19.0,31.0
221,24.0,16.0,15.0
222,27.0,21.0,19.0
223,14.0,15.0,45.0
224,43.0,42.0,18.0
225,38.0,12.0,14.0
226,26.0,22.0,39.0
227,31.0,9.0,12.0
228,17.0,24.0,38.0
229,13.0,29.0,11.0
230,24.0,22.0,18.0
231,18.0,18.0,13.0
232,22.0,25.0,23.0
233,13.0,13.0,16.0
234,65.0,11.0,15.0
235,36.0,32.0,11.0
236,13.0,21.0,22.0
237,23.0,14.0,31.0
238,23.0,19.0,14.0
239,25.0,26.0,34.0
240,33.0,16.0,24.0
241,18.0,43.0,27.0
242,36.0,18.0,12.0
243,13.0,25.0,18.0
244,22.0,19.0,19.0
245,10.0,33.0,16.0
246,13.0,26.0,39.0
247,22.0,12.0,21.0
248,12.0,29.0,13.0
249,10.0,16.0,15.0
250,12.0,14.0,18.0
251,28.0,18.0,13.0
252,18.0,15.0,12.0
253,15.0,13.0,16.0
254,28.0,12.0,26.0
255,42.0,21.0,12.0
256,29.0,21.0,19.0
257,31.0,9.0,27.0
258,13.0,12.0,25.0
259,10.0,29.0,13.0
260,19.0,21.0,9.0
261,24.0,30.0,11.0
262,24.0,30.0,11.0
263,16.0,21.0,35.0
264,21.0,19.0,15.0
265,19.0,42.0,10.0
266,37.0,14.0,11.0
267,23.0,20.0,14.0
268,14.0,22.0,36.0
269,22.0,24.0,12.0
270,57.0,38.0,17.0
271,32.0,10.0,11.0
272,24.0,48.0,25.0
273,16.0,42.0,26.0
274,20.0,11.0,13.0
275,23.0,13.0,16.0
276,21.0,21.0,18.0
277,37.0,12.0,25.0
278,26.0,13.0,16.0
279,25.0,16.0,14.0
280,14.0,26.0,27.0
281,12.0,39.0,41.0
282,10.0,58.0,24.0
283,49.0,15.0,14.0
284,17.0,12.0,28.0
285,31.0,13.0,23.0
286,22.0,10.0,18.0
287,14.0,26.0,39.0
288,37.0,12.0,37.0
289,21.0,17.0,37.0
290,20.0,32.0,41.0
291,16.0,22.0,26.0
292,30.0,12.0,26.0
293,27.0,17.0,20.0
294,53.0,32.0,31.0
295,14.0,24.0,14.0
296,17.0,18.0,11.0
297,21.0,47.0,13.0
298,34.0,17.0,17.0
299,17.0,28.0,18.0
300,17.0,17.0,28.0
301,17.0,32.0,12.0
302,11.0,23.0,21.0
303,32.0,48.0,23.0
304,17.0,30.0,15.0
305,27.0,40.0,17.0
306,29.0,46.0,18.0
307,21.0,13.0,12.0
308,12.0,35.0,22.0
309,19.0,13.0,18.0
310,13.0,29.0,16.0
311,31.0,10.0,20.0
312,11.0,16.0,29.0
313,11.0,24.0,29.0
314,43.0,13.0,14.0
315,19.0,14.0,25.0
316,23.0,25.0,24.0
317,13.0,40.0,19.0
318,13.0,33.0,49.0
319,16.0,24.0,38.0
320,24.0,17.0,24.0
321,13.0,28.0,28.0
322,21.0,29.0,19.0
323,21.0,19.0,17.0
324,60.0,50.0,26.0
325,31.0,17.0,43.0
326,28.0,12.0,16.0
327,18.0,29.0,20.0
328,17.0,46.0,11.0
329,17.0,39.0,16.0
330,11.0,29.0,13.0
331,10.0,26.0,23.0
332,58.0,15.0,18.0
333,14.0,21.0,15.0
334,75.0,27.0,38.0
335,21.0,11.0,26.0
336,27.0,13.0,17.0
337,21.0,83.0,24.0
338,32.0,37.0,29.0
339,18.0,24.0,23.0
340,27.0,22.0,9.0
341,9.0,58.0,18.0
342,17.0,39.0,12.0
343,17.0,15.0,30.0
344,27.0,15.0,30.0
345,40.0,31.0,25.0
346,17.0,41.0,33.0
347,19.0,12.0,38.0
348,17.0,16.0,45.0
349,14.0,13.0,25.0
350,48.0,15.0,21.0
351,16.0,20.0,18.0
352,16.0,42.0,35.0
353,40.0,26.0,13.0
354,17.0,12.0,32.0
355,17.0,26.0,16.0
356,33.0,25.0,27.0
357,17.0,24.0,93.0
358,17.0,19.0,29.0
359,24.0,17.0,20.0
360,16.0,33.0,14.0
361,20.0,23.0,12.0
362,43.0,18.0,21.0
363,12.0,13.0,42.0
364,23.0,20.0,31.0
365,21.0,43.0,41.0
366,24.0,13.0,30.0
367,19.0,11.0,19.0
368,41.0,16.0,30.0
369,22.0,21.0,22.0
370,29.0,13.0,29.0
371,24.0,19.0,26.0
372,18.0,16.0,25.0
373,18.0,18.0,30.0
374,10.0,14.0,18.0
375,13.0,23.0,10.0
376,23.0,32.0,15.0
377,50.0,16.0,17.0
378,24.0,27.0,42.0
379,23.0,29.0,19.0
380,15.0,16.0,27.0
381,29.0,23.0,22.0
382,20.0,13.0,30.0
383,11.0,45.0,29.0
384,30.0,11.0,17.0
385,14.0,44.0,26.0
386,16.0,33.0,19.0
387,66.0,19.0,47.0
388,15.0,19.0,18.0
389,23.0,14.0,19.0
390,17.0,16.0,52.0
391,28.0,47.0,21.0
392,17.0,10.0,20.0
393,74.0,10.0,46.0
394,21.0,14.0,105.0
395,16.0,23.0,26.0
396,12.0,16.0,23.0
397,16.0,20.0,27.0
398,15.0,27.0,55.0
399,34.0,21.0,34.0
400,21.0,14.0,12.0
401,11.0,15.0,15.0
402,43.0,12.0,29.0
403,11.0,25.0,57.0
404,11.0,20.0,16.0
405,23.0,22.0,14.0
406,16.0,18.0,19.0
407,12.0,14.0,23.0
408,17.0,18.0,28.0
409,20.0,30.0,11.0
410,38.0,45.0,16.0
411,14.0,17.0,21.0
412,25.0,38.0,16.0
413,20.0,47.0,26.0
414,31.0,11.0,37.0
415,23.0,31.0,18.0
416,38.0,39.0,42.0
417,46.0,24.0,17.0
418,36.0,22.0,27.0
419,21.0,22.0,22.0
420,41.0,12.0,22.0
421,14.0,23.0,12.0
422,35.0,24.0,36.0
423,24.0,20.0,38.0
424,11.0,39.0,16.0
425,17.0,11.0,22.0
426,27.0,23.0,14.0
427,15.0,28.0,28.0
428,15.0,13.0,22.0
429,27.0,19.0,30.0
430,26.0,12.0,20.0
431,14.0,13.0,19.0
432,24.0,17.0,25.0
433,14.0,14.0,27.0
434,12.0,46.0,41.0
435,19.0,41.0,27.0
436,29.0,24.0,23.0
437,17.0,17.0,19.0
438,16.0,25.0,17.0
439,29.0,17.0,10.0
440,40.0,19.0,12.0
441,21.0,36.0,62.0
442,26.0,25.0,16.0
443,33.0,19.0,20.0
444,14.0,19.0,13.0
445,14.0,14.0,8.0
446,31.0,23.0,20.0
447,18.0,22.0,26.0
448,37.0,50.0,46.0
449,10.0,12.0,13.0
450,31.0,14.0,15.0
451,32.0,26.0,20.0
452,26.0,20.0,14.0
453,23.0,9.0,25.0
454,19.0,34.0,40.0
455,26.0,18.0,15.0
456,14.0,63.0,14.0
457,21.0,20.0,33.0
458,21.0,23.0,23.0
459,19.0,11.0,15.0
460,24.0,27.0,18.0
461,17.0,26.0,54.0
462,22.0,29.0,31.0
463,18.0,17.0,33.0
464,31.0,9.0,16.0
465,21.0,17.0,15.0
466,13.0,33.0,21.0
467,24.0,23.0,38.0
468,16.0,13.0,12.0
469,24.0,29.0,11.0
470,25.0,22.0,29.0
471,34.0,29.0,15.0
472,40.0,10.0,42.0
473,11.0,22.0,18.0
474,18.0,31.0,18.0
475,29.0,50.0,24.0
476,11.0,11.0,11.0
477,16.0,8.0,38.0
478,18.0,13.0,20.0
479,28.0,17.0,42.0
480,35.0,41.0,9.0
481,31.0,33.0,29.0
482,86.0,10.0,39.0
483,19.0,16.0,30.0
484,21.0,46.0,17.0
485,22.0,20.0,40.0
486,19.0,15.0,45.0
487,11.0,12.0,42.0
488,35.0,22.0,36.0
489,29.0,32.0,12.0
490,17.0,28.0,32.0
491,17.0,30.0,36.0
492,29.0,24.0,21.0
493,12.0,9.0,22.0
494,42.0,37.0,16.0
495,44.0,16.0,16.0
496,31.0,11.0,17.0
497,22.0,30.0,18.0
498,38.0,15.0,16.0
499,13.0,58.0,17.0
