episode,seed_0,seed_1,seed_2
0,12.0,10.0,14.0
1,16.0,27.0,38.0
2,59.0,34.0,22.0
3,28.0,36.0,31.0
4,12.0,14.0,20.0
5,48.0,49.0,11.0
6,34.0,27.0,40.0
7,20.0,13.0,11.0
8,12.0,16.0,36.0
9,37.0,11.0,24.0
10,19.0,19.0,19.0
11,48.0,12.0,15.0
12,23.0,15.0,11.0
13,11.0,18.0,13.0
14,10.0,37.0,34.0
15,12.0,9.0,15.0
16,17.0,15.0,41.0
17,20.0,10.0,29.0
18,31.0,20.0,14.0
19,12.0,22.0,35.0
20,13.0,19.0,9.0
21,13.0,35.0,13.0
22,9.0,19.0,19.0
23,17.0,28.0,16.0
24,26.0,12.0,26.0
25,11.0,24.0,18.0
26,17.0,18.0,15.0
27,29.0,19.0,22.0
28,13.0,15.0,31.0
29,12.0,57.0,28.0
30,33.0,13.0,15.0
31,20.0,12.0,11.0
32,16.0,41.0,11.0
33,24.0,14.0,21.0
34,40.0,30.0,25.0
35,36.0,39.0,20.0
36,21.0,10.0,12.0
37,18.0,46.0,13.0
38,13.0,42.0,27.0
39,22.0,22.0,12.0
40,15.0,13.0,13.0
41,15.0,13.0,13.0
42,17.0,58.0,14.0
43,11.0,14.0,19.0
44,26.0,30.0,28.0
45,17.0,25.0,12.0
46,15.0,34.0,26.0
47,19.0,19.0,33.0
48,14.0,16.0,11.0
49,22.0,23.0,15.0
50,22.0,14.0,15.0
51,11.0,17.0,55.0
52,14.0,16.0,16.0
53,17.0,20.0,21.0
54,9.0,32.0,10.0
55,21.0,18.0,22.0
56,40.0,11.0,26.0
57,19.0,42.0,29.0
58,22.0,14.0,18.0
59,9.0,10.0,10.0
60,30.0,46.0,12.0
61,14.0,20.0,33.0
62,12.0,24.0,14.0
63,18.0,53.0,19.0
64,14.0,49.0,13.0
65,33.0,11.0,16.0
66,13.0,56.0,17.0
67,13.0,15.0,14.0
68,35.0,14.0,21.0
69,11.0,21.0,13.0
70,22.0,35.0,14.0
71,13.0,10.0,9.0
72,50.0,28.0,46.0
73,12.0,20.0,27.0
74,12.0,19.0,22.0
75,23.0,11.0,33.0
76,15.0,30.0,60.0
77,9.0,17.0,25.0
78,26.0,11.0,15.0
79,20.0,32.0,22.0
80,33.0,30.0,17.0
81,48.0,12.0,24.0
82,20.0,29.0,34.0
83,14.0,11.0,14.0
84,18.0,21.0,23.0
85,19.0,17.0,16.0
86,28.0,27.0,29.0
87,10.0,18.0,18.0
88,11.0,16.0,16.0
